Date,Donchian+Aroon,SMA+Momentum,Seykota,EMA9/RSI14 MeanRev,HMM Regime,Buy & hold SOXL,Buy & hold SMH,Buy & hold SPY
2023-03-01,30.303342176335885,14.285825635770433,1.4986844268443165,2.537889333433705,35.19797207372968,36.48476344021961,9.146166594280434,3.8710954320190347
2023-03-02,30.984548628937578,14.285825635770433,1.5005990562105325,2.537889333433705,35.98920775841408,37.30492565640355,9.227105546834123,3.90120137543737
2023-03-03,32.367601166615174,14.285825635770433,1.5044863256184249,2.537889333433705,37.59565249689881,38.970099892596124,9.3523336668711,3.96376914280082
2023-03-06,31.31482902121705,14.285825635770433,1.5015273570739913,2.537889333433705,36.372835410978155,37.70257822921677,9.269102958644194,3.9665143836803702
2023-03-07,30.241407184063842,14.285825635770433,1.4985103495810324,2.537889333433705,35.12603327187435,36.410194650791425,9.165638545665216,3.9057134484643456
2023-03-08,32.6359546140473,14.278682722952547,1.5052405718370518,2.537889333433705,37.90735069486132,39.293193364958206,9.405402484792264,3.9120878157831154
2023-03-09,30.778120114496623,13.458715024505986,1.5000188589821248,2.537889333433705,35.749436678239704,37.05638886224836,9.225198210883466,3.8399096709020966
2023-03-10,29.002854204123683,13.458715024505986,1.494988458741586,2.537889333433705,33.68742782214902,34.91899568605863,9.075917580647705,3.7845018773569805
2023-03-13,28.940933294844847,13.458715024505986,1.4949090327539336,2.537889333433705,33.61550537798778,34.84444385234024,9.069808791047233,3.779108422695435
2023-03-14,31.41804327843752,13.451985666993734,1.508505477966417,2.537889333433705,36.492720951065344,37.826846626294355,9.341261670253523,3.8415769720268673
2023-03-15,30.32398382066627,12.983551906993208,1.5025003673434274,2.537889333433705,35.22194777965906,36.50961566628857,9.236269616994562,3.8175505587469876
2023-03-16,33.895157285742535,14.512589658988544,1.5221019452643891,2.537889333433705,39.369941197769805,40.80925424473699,9.60584282547908,3.884530242133484
2023-03-17,33.296517410462414,14.249019024319628,1.518816110432603,2.537889333433705,38.6746083368029,40.088500932828914,9.556973689688274,3.8391090408519437
2023-03-20,34.28736059915702,14.249019024319628,1.5242546841004985,2.537889333433705,39.82549363130855,41.28146107351286,9.653183730483418,3.8760247215655
2023-03-21,34.46309221211716,14.249019024319628,1.5252192457322147,2.537889333433705,40.02960961196341,41.49303926480642,9.683727678485779,3.9269188771304546
2023-03-22,33.57412338443212,14.249019024319628,1.5203398435089452,2.537889333433705,38.997053539791644,40.42273430652541,9.621495380910664,3.859979256545529
2023-03-23,36.15833050765829,14.249019024319628,1.5345241271303345,2.537889333433705,41.99866470290218,43.534080408971654,9.877293933165912,3.8704137384110466
